run,dataset_mb_total,random_data,seed_duration_s,backup_duration_s,bgsave_duration_s,rdb_validation_duration_s,snapshot_create_duration_s,fresh_cluster_create_duration_s,source_disk_create_duration_s,rdb_incluster_copy_duration_s,replica_clear_duration_s,temp_source_cleanup_duration_s,pod_recreate_duration_s,cluster_recovery_after_pods_s,restore_duration_s,verify_duration_s,verify_mode,expected_keys,restored_keys,key_count_ok,used_memory,used_memory_dataset,integrity_ok,provider,provider_label,dataset_mb,seed_keys
1,10240,True,625.45,120,22,26,71,71,33,70,42,6,27,8,290,0.03,size,10485760,10485760,True,14424855208,14093862500,True,valkey_self_hosted,Valkey,10240,10485760
2,10240,True,642.11,122,27,27,67,66,38,70,45,5,22,14,294,0.03,size,10485760,10485760,True,14425014784,14093970164,True,valkey_self_hosted,Valkey,10240,10485760
3,10240,True,625.19,130,33,27,68,72,25,68,46,5,25,20,295,0.04,size,10485760,10485760,True,14425028784,14094035724,True,valkey_self_hosted,Valkey,10240,10485760
4,10240,True,620.42,137,43,26,66,79,39,69,43,5,23,19,311,0.04,size,10485760,10485760,True,14425035272,14094035516,True,valkey_self_hosted,Valkey,10240,10485760
5,10240,True,624.1,124,26,26,70,72,32,69,43,5,26,8,289,0.03,size,10485760,10485760,True,14424964440,14093954188,True,valkey_self_hosted,Valkey,10240,10485760
1,10240,True,626.4,135,42,27,64,76,39,70,42,5,55,1,322,0.04,size,10485760,10485760,True,14787111864,14093310460,True,redis72_self_hosted,Redis 7.2,10240,10485760
2,10240,True,628.4,142,44,26,70,75,51,68,41,5,52,2,329,0.03,size,10485760,10485760,True,14787066704,14093265428,True,redis72_self_hosted,Redis 7.2,10240,10485760
3,10240,True,624.18,139,43,26,68,79,33,69,42,6,49,1,313,0.03,size,10485760,10485760,True,14787091264,14093290116,True,redis72_self_hosted,Redis 7.2,10240,10485760
4,10240,True,628.83,132,37,26,66,82,34,72,45,5,56,1,327,0.04,size,10485760,10485760,True,14787091648,14093290116,True,redis72_self_hosted,Redis 7.2,10240,10485760
5,10240,True,632.62,137,42,27,66,83,36,71,44,5,49,1,323,0.03,size,10485760,10485760,True,14787046104,14093265428,True,redis72_self_hosted,Redis 7.2,10240,10485760
