file,run,phase,provider,slot_migration_mode,atomic_slot_migration,slot_migration_command,operation_status,operation_duration_s,managed_blackbox_duration_s,scale_duration_s,rebalance_duration_s,explicit_rebalance_duration_s,slot_move_duration_s,reshard_down_duration_s,del_node_duration_s,scale_down_duration_s,auto_rebalance_detected,auto_rebalance_status,slots_on_new_after,expected_slots_on_new,auto_rebalance_trace,fallback_rebalance_used,fallback_rebalance_status,fallback_rebalance_duration_s,fallback_rebalance_slots_before,fallback_rebalance_slots_after,explicit_rebalance_status,explicit_rebalance_slots_before,explicit_rebalance_slots_after,ops_sec,p50,p95,p99,p999,wait_check_duration_s
ms/reshard_run_1.json,1,up,memorystore_redis,ms,,,success,179,179.0,,,,,,,,,,,,,,,,,,,,,142463.45,1.351,2.007,2.847,6.591,0.0
ms/reshard_down_run_1.json,1,down,memorystore_redis,ms,,,success,42,42.0,,,,,,,,,,,,,,,,,,,,,140728.23,1.439,2.367,3.535,7.423,0.0
legacy/reshard_legacy_run_1.json,1,up,selfhosted_valkey,legacy,False,cluster_rebalance,,88,,25.0,0.0,58.0,58.0,,,,False,skipped,4096.0,4096.0,reshard_legacy_auto_rebalance_1.csv,False,not_used,0.0,,,complete,0.0,4096.0,187752.04,1.023,2.319,4.479,6.559,5.0
legacy/reshard_legacy_down_run_1.json,1,down,selfhosted_valkey,legacy,False,cluster_rebalance,,104,,,,,,55.0,10.0,38.0,,,,,,,,,,,,,,192955.62,1.087,2.191,3.983,5.503,1.0
redis/reshard_redis72_run_1.json,1,up,selfhosted_redis,redis72,False,redis_cluster_rebalance,,67,,31.0,0.0,35.0,35.0,,,,False,not_used,4096.0,4096.0,,,,,,,complete,0.0,4096.0,192255.8,1.047,2.015,3.727,5.791,1.0
redis/reshard_redis72_down_run_1.json,1,down,selfhosted_redis,redis72,False,redis_cluster_rebalance,,54,,,,,,32.0,11.0,9.0,,,,,,,,,,,,,,197888.07,1.039,1.935,3.791,5.375,2.0
atomic/reshard_atomic_run_1.json,1,up,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,36,,27.0,0.0,4.0,4.0,,,,False,skipped,4096.0,4096.0,reshard_atomic_auto_rebalance_1.csv,False,not_used,0.0,,,complete,0.0,4096.0,196504.39,1.079,1.887,2.527,4.159,5.0
atomic/reshard_atomic_down_run_1.json,1,down,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,53,,,,,,4.0,9.0,38.0,,,,,,,,,,,,,,205469.27,0.991,1.687,1.991,2.831,2.0
ms/reshard_run_2.json,2,up,memorystore_redis,ms,,,success,160,160.0,,,,,,,,,,,,,,,,,,,,,138919.13,1.191,2.111,2.975,6.591,0.0
ms/reshard_down_run_2.json,2,down,memorystore_redis,ms,,,success,59,59.0,,,,,,,,,,,,,,,,,,,,,139352.27,1.463,2.415,3.455,7.487,0.0
legacy/reshard_legacy_run_2.json,2,up,selfhosted_valkey,legacy,False,cluster_rebalance,,88,,25.0,0.0,58.0,58.0,,,,False,skipped,4096.0,4096.0,reshard_legacy_auto_rebalance_2.csv,False,not_used,0.0,,,complete,0.0,4096.0,185177.47,1.039,2.415,4.511,6.527,5.0
legacy/reshard_legacy_down_run_2.json,2,down,selfhosted_valkey,legacy,False,cluster_rebalance,,102,,,,,,54.0,9.0,38.0,,,,,,,,,,,,,,192739.84,1.103,2.207,4.047,5.567,1.0
redis/reshard_redis72_run_2.json,2,up,selfhosted_redis,redis72,False,redis_cluster_rebalance,,67,,32.0,0.0,34.0,34.0,,,,False,not_used,4096.0,4096.0,,,,,,,complete,0.0,4096.0,191908.31,1.047,2.039,3.791,5.983,1.0
redis/reshard_redis72_down_run_2.json,2,down,selfhosted_redis,redis72,False,redis_cluster_rebalance,,55,,,,,,32.0,12.0,9.0,,,,,,,,,,,,,,201824.1,1.031,1.903,3.695,5.247,2.0
atomic/reshard_atomic_run_2.json,2,up,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,29,,21.0,0.0,3.0,3.0,,,,False,skipped,4096.0,4096.0,reshard_atomic_auto_rebalance_2.csv,False,not_used,0.0,,,complete,0.0,4096.0,191350.87,1.143,1.903,2.431,3.887,5.0
atomic/reshard_atomic_down_run_2.json,2,down,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,51,,,,,,3.0,9.0,38.0,,,,,,,,,,,,,,205582.73,0.991,1.671,2.007,3.071,1.0
ms/reshard_run_3.json,3,up,memorystore_redis,ms,,,success,158,158.0,,,,,,,,,,,,,,,,,,,,,140261.54,1.239,1.911,3.055,6.943,0.0
ms/reshard_down_run_3.json,3,down,memorystore_redis,ms,,,success,45,45.0,,,,,,,,,,,,,,,,,,,,,141838.1,1.487,2.447,3.599,7.615,0.0
legacy/reshard_legacy_run_3.json,3,up,selfhosted_valkey,legacy,False,cluster_rebalance,,83,,20.0,0.0,58.0,58.0,,,,False,skipped,4096.0,4096.0,reshard_legacy_auto_rebalance_3.csv,False,not_used,0.0,,,complete,0.0,4096.0,186623.53,1.071,2.319,4.127,6.367,5.0
legacy/reshard_legacy_down_run_3.json,3,down,selfhosted_valkey,legacy,False,cluster_rebalance,,103,,,,,,55.0,9.0,38.0,,,,,,,,,,,,,,194968.23,1.087,2.159,4.015,5.663,1.0
redis/reshard_redis72_run_3.json,3,up,selfhosted_redis,redis72,False,redis_cluster_rebalance,,68,,32.0,0.0,34.0,34.0,,,,False,not_used,4096.0,4096.0,,,,,,,complete,0.0,4096.0,190336.61,1.047,2.031,3.759,5.855,2.0
redis/reshard_redis72_down_run_3.json,3,down,selfhosted_redis,redis72,False,redis_cluster_rebalance,,54,,,,,,31.0,11.0,10.0,,,,,,,,,,,,,,200121.18,1.023,1.919,3.727,5.343,2.0
atomic/reshard_atomic_run_3.json,3,up,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,28,,20.0,0.0,4.0,4.0,,,,False,skipped,4096.0,4096.0,reshard_atomic_auto_rebalance_3.csv,False,not_used,0.0,,,complete,0.0,4096.0,194690.83,1.127,1.887,2.431,3.855,4.0
atomic/reshard_atomic_down_run_3.json,3,down,selfhosted_valkey,atomic,True,cluster_rebalance_atomic,,52,,,,,,3.0,9.0,38.0,,,,,,,,,,,,,,202716.23,1.007,1.671,1.967,2.943,2.0
ms/reshard_run_4.json,4,up,memorystore_redis,ms,,,success,158,158.0,,,,,,,,,,,,,,,,,,,,,144046.48,1.175,1.999,2.847,6.527,0.0
ms/reshard_down_run_4.json,4,down,memorystore_redis,ms,,,success,45,45.0,,,,,,,,,,,,,,,,,,,,,140494.06,1.487,2.415,3.519,7.391,0.0
legacy/reshard_legacy_run_4.json,4,up,selfhosted_valkey,legacy,False,cluster_rebalance,,88,,23.0,0.0,60.0,60.0,,,,False,skipped,4096.0,4096.0,reshard_legacy_auto_rebalance_4.csv,False,not_used,0.0,,,complete,0.0,4096.0,185200.54,1.047,2.351,4.223,6.527,5.0
legacy/reshard_legacy_down_run_4.json,4,down,selfhosted_valkey,legacy,False,cluster_rebalance,,102,,,,,,54.0,9.0,38.0,,,,,,,,,,,,,,192144.7,1.095,2.175,4.095,5.663,1.0
redis/reshard_redis72_run_4.json,4,up,selfhosted_redis,redis72,False,redis_cluster_rebalance,,67,,32.0,0.0,34.0,34.0,,,,False,not_used,4096.0,4096.0,,,,,,,complete,0.0,4096.0,191400.25,1.055,2.039,3.807,6.143,1.0
